sample_wgts	HHID_79	nonmissing	LogWage	yearborn	black	AFQTStd	EarlyIQStd
496397	872	0	6.939583	62	0	.7255685	
565849	872	0	6.937598	63	0	1.391933	
496397	881	0	6.999549	62	0	.202048	
511841	902	0	7.727823	62	0	.6638917	
468485	912	0	6.888501	63	0	1.190701	
410983	919	1	7.546081	62	0	1.17747	-.5091668
495804	919	1	6.869001	64	0	-1.123885	-1.04597
540299	929	0	6.53184	64	0	.5028756	
117090	933	0	7.119751	62	0	.1263486	
412125	935	0	7.288237	62	0	.6638917	
469786	935	0	6.670204	63	0	-.6284655	
388152	945	0	6.605289	62	0	.7255685	
442459	951	0	7.368855	63	0	-.1689377	
442459	955	0	6.637336	63	0	-.1950995	
405794	959	1	7.748581	62	0	1.045537	-.3991593
405794	973	0	7.021611	62	0	.3303978	
464581	976	0	6.904838	63	0	.8166839	
556368	997	0	6.859478	64	0	.5537998	
125547	1001	0	6.202253	62	1	-1.593775	
500995	1003	0	7.264723	64	0	.4271762	
556661	1010	0	7.728426	64	0	1.193528	
525988	1011	0	7.069624	63	0	-.5024317	
461429	1012	0	6.432953	62	0	-1.699607	
556661	1012	0	6.882737	64	0	1.267271	
500995	1021	0	7.89088	64	0	.3268374	
125547	1027	0	6.360748	62	1	-1.230473	
126352	1027	0	7.580158	63	1	-1.640305	
124689	1042	0	6.762858	62	0	-.4166201	
142134	1042	0	6.447162	63	0	-1.640305	
547964	1044	0	6.186534	64	0	-1.39878	
517771	1045	0	6.604497	63	0	.2360427	
467579	1052	1	8.259485	62	0	1.17747	.797192
532999	1052	0	7.450035	63	0	.3379263	
142529	1058	1	6.429319	63	1	-.5024317	-.5306297
582074	1089	0	6.458325	62	0	-1.699607	
587814	1091	0	6.652941	62	0	.1515125	
603260	1108	1	6.353887	62	0	.7573813	.0338019
563891	1133	0	7.081619	63	0	.3897004	
125547	1148	0	7.104	62	1	-1.829715	
166859	1148	0	6.175879	64	1	-.9296452	
126352	1151	0	6.126711	63	1	-1.36541	
492516	1169	0	7.017492	62	0	-.6552238	
634045	1176	1	6.994039	64	0	.1500129	.8170813
537429	1184	0	7.284019	62	0	.2529722	
537429	1187	0	7.014706	62	0	.6944242	
204688	1189	0	6.769739	64	1	-.7284129	
588263	1197	1	7.146944	64	0	.5794513	-.2591563
487625	1197	0	6.907971	62	0	.1012323	
487625	1204	0	7.232528	62	0	-1.829715	
144068	1210	0	6.615412	63	1	-1.640305	
143150	1213	0	6.517103	62	1	-1.289676	
143150	1216	0	6.08672	62	1	-1.699607	
190254	1216	0	7.266743	64	1	-1.123885	
144068	1221	0	6.62548	63	1	-1.534472	
493709	1228	0	6.916373	62	0	-.1764662	
398541	1234	0	7.632684	62	0	-1.230473	
104195	1243	1	6.782691	62	0	-.049355	-.6974508
398541	1248	0	6.588923	62	0	-.2282403	
420682	1256	0	6.809746	62	0	-.9433792	
528664	1257	0	6.211726	64	0	-.3869405	
452887	1272	0	6.647914	62	0	.4635419	
452887	1284	0	7.116257	62	0	-1.123908	
143482	1286	0	6.426785	62	1	-1.175449	
144402	1289	0	6.501261	63	1	-.843784	
143482	1290	0	7.01093	62	1	-1.289676	
190696	1292	0	6.265256	64	1	-.4202869	
144402	1293	0	7.0734	63	1	-.0915122	
480794	1300	0	7.10735	64	0	-.8230805	
143482	1313	1	6.299382	62	1	-1.699607	-.7732294
483416	1315	0	7.17865	64	0	.3268374	
400715	1318	0	7.006345	62	0	-1.593775	
400715	1329	0	6.633882	62	0	-1.503695	
483416	1329	0	6.374247	64	0	-.9888486	
454220	1345	0	7.236551	62	0	-.7211145	
517771	1349	0	6.680998	63	0	-.385469	
517771	1353	0	7.13381	63	0	-.0659928	
436018	1364	0	7.562384	63	0	.784871	
166859	1379	0	6.343948	64	1	-.3225834	
125547	1383	0	6.918186	62	1	-1.829715	
