27.9310000000	14.3812038015	9.3599800000	10.3067900000	0.3202600000	15.4950800000	10.5437612435	6.0000000000	3.0000000000	8.5663100000	0.2646700000	0.0000000000	0.0060000000	36.7200000000	0.0000000000	0.0000000000	0.5290000000	2.6370000000	0.0530000000	13.6190000000	23723.4690000000	DZA
74.9170000000	21.7213114754	7.0625200000	6.5513600000	0.4152300000	15.2723200000	10.3920675674	1.0000000000	6.0000000000	6.9028700000	0.2133300000	0.0000000000	0.0000000000	-8.8430000000	0.0000000000	0.0000000000	0.4270000000	2.4430000000	0.2680000000	15.9000000000	8685.9910000000	AGO
12.3090000000	9.1892528147	9.6027000000	10.4088400000	0.8066800000	16.2253500000	12.0903811710	7.0000000000	8.0000000000	8.3929500000	0.3341100000	0.0000000000	0.8360000000	-36.6760000000	5.0000000000	0.0890000000	0.5790000000	1.7230000000	0.0230000000	8.9779000000	31637.7760000000	ARG
5.7082000000	4.4759875260	10.3042100000	11.3859500000	1.0923200000	15.8723200000	13.0648041774	2.0000000000	11.0000000000	8.6710300000	0.8097800000	0.9500000000	0.9500000000	-32.2190000000	5.0000000000	0.6890000000	0.9310000000	1.4040000000	0.0380000000	4.3059000000	16396.2770000000	AUS
8.1555000000	3.1434738956	10.1316500000	11.1792400000	0.8026400000	15.0924100000	8.1573704412	5.0000000000	12.0000000000	8.8052100000	0.8635600000	0.0000000000	0.9800000000	48.2310000000	4.0000000000	0.7780000000	0.9490000000	3.6010000000	0.0040000000	3.1309000000	7624.8620000000	AUT
66.9710000000	29.7630000000	8.4138200000	7.3992700000	0.2639800000	17.2121900000	9.1974577461	3.0000000000	16.0000000000	8.6571200000	0.1563300000	0.0000000000	0.0000000000	23.8800000000	3.0000000000	0.0000000000	0.3130000000	2.3330000000	0.0000000000	29.7630000000	105584.5100000000	BGD
7.2225000000	6.5206237425	9.5687000000	9.8360000000	0.8874800000	11.7914400000	3.6109179126	7.0000000000	17.0000000000	8.5475700000	0.8693400000	1.0000000000	1.0000000000	13.1790000000	5.0000000000	1.0000000000	0.7390000000	4.0270000000	0.0060000000	6.4815000000	255.1180000000	BRB
2.7001000000	1.8818000000	10.2967700000	11.2444200000	1.0182000000	15.2297600000	7.3185395486	5.0000000000	19.0000000000	8.8047400000	0.8657200000	0.0000000000	0.3450000000	50.8370000000	5.0000000000	0.7780000000	0.9540000000	3.9600000000	0.0000000000	1.8818000000	9902.8860000000	BEL
64.2840000000	34.6922300706	7.6446500000	7.5417400000	0.0938000000	14.5650300000	7.7415335893	1.0000000000	21.0000000000	7.6023100000	0.2436600000	0.0000000000	0.0000000000	6.3640000000	0.0000000000	0.1110000000	0.3760000000	3.7420000000	0.0090000000	34.3800000000	4398.0720000000	BEN
48.0510000000	23.0270270270	8.5076500000	9.1134300000	0.5642800000	14.5721500000	10.3143049781	7.0000000000	24.0000000000	7.6404800000	0.5573300000	0.0000000000	0.3720000000	-15.1900000000	3.0000000000	0.7330000000	0.3810000000	2.0870000000	0.0750000000	21.3000000000	6280.5300000000	BOL
50.0310000000	11.3550321199	8.1064500000	9.1987600000	0.4958000000	12.9091200000	10.7228267583	1.0000000000	26.0000000000	7.0645000000	0.5342800000	0.0000000000	0.0000000000	-21.5360000000	5.0000000000	0.3560000000	0.7130000000	3.1790000000	0.5330000000	5.3028000000	1196.0870000000	BWA
25.7610000000	10.2909460834	9.3322900000	9.9630100000	0.4676600000	17.7788600000	12.4193678608	7.0000000000	27.0000000000	8.5492600000	0.3852800000	0.0000000000	0.9980000000	-19.5570000000	3.0000000000	0.0890000000	0.6820000000	1.1090000000	0.0170000000	10.1160000000	143003.6210000000	BRA
92.3770000000	32.7857857858	6.9520800000	6.7683700000	0.5078500000	15.2645100000	9.5151745032	1.0000000000	30.0000000000	6.5360900000	0.2491700000	0.0000000000	0.0000000000	12.0490000000	1.0000000000	0.0000000000	0.4980000000	2.6460000000	0.0010000000	32.7530000000	8564.5400000000	BFA
91.9000000000	54.7929292929	6.9610700000	6.4565700000	0.2681100000	14.8159300000	7.7169061353	1.0000000000	31.0000000000	6.9452100000	0.2639000000	0.0000000000	0.0000000000	-3.3650000000	4.0000000000	0.0000000000	0.5280000000	3.2130000000	0.0100000000	54.2450000000	5164.2330000000	BDI
70.4230000000	27.0427631579	7.9024900000	8.0440400000	0.2988200000	15.3986200000	9.6361308465	1.0000000000	33.0000000000	7.5328900000	0.3592800000	0.0000000000	0.0000000000	10.7300000000	5.0000000000	0.1560000000	0.5630000000	2.7590000000	0.0880000000	24.6630000000	10847.2740000000	CMR
3.8849000000	3.0148033126	10.4144200000	11.3198600000	1.1011600000	16.3783900000	11.2705990942	8.0000000000	34.0000000000	8.8605400000	0.9657800000	0.6140000000	0.8570000000	43.7270000000	5.0000000000	0.9560000000	0.9760000000	1.6030000000	0.0340000000	2.9123000000	27018.8040000000	CAN
31.7850000000	17.7334004024	7.8926100000	8.7780800000	0.4461300000	11.8039800000	4.1743872699	1.0000000000	35.0000000000	7.0037500000	0.2290700000	0.0000000000	0.7000000000	15.0910000000	1.0000000000	0.0710000000	0.3870000000	3.8090000000	0.0060000000	17.6270000000	327.5520000000	CPV
81.1660000000	49.6989690722	7.0685400000	6.8884900000	0.1688400000	14.1414100000	8.5183924720	1.0000000000	37.0000000000	6.9897300000	0.2098800000	0.0000000000	0.0000000000	4.3310000000	3.0000000000	0.0000000000	0.4200000000	2.7170000000	0.0300000000	48.2080000000	2804.8230000000	CAF
