sample_wgts	HHID_79	AvgHourlyWages_90to93	LogWage	yearborn	black	AFQT_Adj1
442459	955	763.0594	6.637336	63	0	38
405794	959	2318.28	7.748581	62	0	84
405794	973	1120.591	7.021611	62	0	61
464581	976	997.0867	6.904838	63	0	76
556368	997	952.8696	6.859478	64	0	58
125547	1001	493.8604	6.202253	62	1	5
500995	1003	1428.989	7.264723	64	0	53
556661	1010	2272.023	7.728426	64	0	80
525988	1011	1175.706	7.069624	63	0	27
461429	1012	622.0079	6.432953	62	0	4
556661	1012	975.2922	6.882737	64	0	82
500995	1021	2672.795	7.89088	64	0	49
125547	1027	578.679	6.360748	62	1	10
126352	1027	1958.938	7.580158	63	1	4
124689	1042	865.1115	6.762858	62	0	32
142134	1042	630.9094	6.447162	63	0	4
547964	1044	486.1583	6.186534	64	0	4
517771	1045	738.4084	6.604497	63	0	55
467579	1052	3864.105	8.259485	62	0	87
532999	1052	1719.923	7.450035	63	0	59
142529	1058	619.752	6.429319	63	1	27
582074	1089	637.9915	6.458325	62	0	4
587814	1091	775.0605	6.652941	62	0	54
603260	1108	574.7225	6.353887	62	0	76
563891	1133	1189.893	7.081619	63	0	61
125547	1148	1216.825	7.104	62	1	3
166859	1148	481.0058	6.175879	64	1	10
126352	1151	457.9277	6.126711	63	1	7
492516	1169	1115.984	7.017492	62	0	24
634045	1176	1090.115	6.994039	64	0	42
537429	1184	1456.831	7.284019	62	0	58
537429	1187	1112.879	7.014706	62	0	74
204688	1189	871.0848	6.769739	64	1	14
588263	1197	1270.218	7.146944	64	0	59
487625	1197	1000.216	6.907971	62	0	52
487625	1204	1383.716	7.232528	62	0	3
144068	1210	746.512	6.615412	63	1	4
143150	1213	676.6154	6.517103	62	1	9
143150	1216	439.9761	6.08672	62	1	4
190254	1216	1431.879	7.266743	64	1	7
144068	1221	754.0659	6.62548	63	1	5
493709	1228	1008.655	6.916373	62	0	41
398541	1234	2064.584	7.632684	62	0	10
104195	1243	882.4402	6.782691	62	0	46
398541	1248	726.9979	6.588923	62	0	39
420682	1256	906.6401	6.809746	62	0	16
528664	1257	498.5611	6.211726	64	0	23
452887	1272	771.1744	6.647914	62	0	66
452887	1284	1231.831	7.116257	62	0	12
143482	1286	618.183	6.426785	62	1	11
144402	1289	665.9807	6.501261	63	1	17
143482	1290	1108.685	7.01093	62	1	9
190696	1292	525.9761	6.265256	64	1	22
144402	1293	1180.153	7.0734	63	1	42
480794	1300	1220.907	7.10735	64	0	12
143482	1313	544.2356	6.299382	62	1	4
483416	1315	1311.137	7.17865	64	0	49
400715	1318	1103.614	7.006345	62	0	5
400715	1329	760.4281	6.633882	62	0	6
483416	1329	586.5434	6.374247	64	0	9
454220	1345	1389.294	7.236551	62	0	22
517771	1349	797.1143	6.680998	63	0	31
517771	1353	1253.645	7.13381	63	0	43
436018	1364	1924.428	7.562384	63	0	75
166859	1379	569.0385	6.343948	64	1	25
125547	1383	1010.485	6.918186	62	1	3
126352	1383	707.3078	6.561466	63	1	14
463269	1396	1053.986	6.960335	63	0	37
529923	1408	1902.482	7.550914	62	0	53
133709	1416	707.5708	6.561838	64	0	16
423939	1420	874.7324	6.773918	62	0	45
423939	1425	888.019	6.788993	62	0	68
168470	1432	1019.019	6.926596	63	1	32
755335	1456	858.3287	6.754987	63	0	26
650568	1466	1296.53	7.167447	63	0	3
612120	1476	1516.712	7.3243	63	0	31
650911	1501	1885.584	7.541993	63	0	94
688868	1503	658.9029	6.490576	64	0	84
657555	1506	1986.891	7.594326	64	0	92
520550	1514	1154.356	7.051298	62	0	42
508604	1541	861.9744	6.759225	62	0	16
486558	1554	822.2021	6.711986	62	0	65
615921	1564	1036.243	6.943357	63	0	81
426571	1575	1210.578	7.098854	62	0	17
494823	1579	1268.919	7.145921	62	0	18
451699	1585	2174.693	7.684643	62	0	44
514897	1590	939.8065	6.845674	63	0	29
451699	1594	993.2269	6.900959	62	0	37
416379	1597	887.2	6.78807	62	0	63
416379	1601	1618.174	7.389053	62	0	43
502313	1601	1308.687	7.176779	64	0	45
495776	1611	1125.251	7.025762	64	0	73
495776	1612	640.5143	6.462271	64	0	51
474705	1626	1655.375	7.411783	63	0	96
502387	1626	561.9117	6.331345	64	0	27
474705	1628	1076.115	6.981113	63	0	71
425910	1631	558	6.324359	62	0	98
485500	1631	1937.885	7.569352	63	0	99
425910	1634	894.3278	6.796072	62	0	41
425910	1634	1056.969	6.963161	62	0	39
425910	1637	1070.153	6.975557	62	0	53
565665	1656	1859.342	7.527977	63	0	53
520566	1667	1343.231	7.202833	64	0	46
581054	1670	2340.386	7.758071	63	0	94
581054	1671	1174.8	7.068853	63	0	53
581054	1675	1817.892	7.505433	63	0	58
517811	1681	1954.124	7.577697	62	0	53
153447	1716	1842.104	7.518664	62	1	49
586807	1731	1169.514	7.064343	63	0	61
136961	1753	2028.749	7.615175	62	1	27
569548	1761	1482.546	7.301516	63	0	36
499642	1761	530.7803	6.274348	62	0	19
547964	1764	783.5237	6.663801	64	0	21
134012	1772	544.1756	6.299272	63	0	14
461863	1780	723.5802	6.584211	62	0	77
526483	1784	572.0887	6.349294	63	0	77
516558	1788	1249.645	7.130615	64	0	59
535893	1792	1358.99	7.214497	63	0	80
517672	1801	518.4692	6.250881	64	0	71
517672	1804	919.6044	6.823944	64	0	46
478289	1813	1161.818	7.057741	62	0	22
131379	1827	922.6656	6.827267	62	0	44
506265	1854	1212.283	7.100261	63	0	80
523261	1866	1127.31	7.02759	62	0	86
596471	1868	596.7659	6.391525	63	0	22
556706	1872	648.1035	6.474051	63	0	13
585501	1884	697.2954	6.547209	63	0	32
465121	1887	543.9429	6.298844	62	0	42
530197	1887	663.3475	6.497299	63	0	8
465121	1894	1033.792	6.940989	62	0	35
435094	1911	1642.789	7.40415	62	0	67
429324	1914	1889.359	7.543993	62	0	65
489391	1918	1056.283	6.962512	63	0	47
517930	1920	655.8182	6.485884	64	0	48
489391	1924	1646.94	7.406674	63	0	35
401626	1931	751.902	6.622606	62	0	33
484516	1951	1952.63	7.576932	64	0	33
401626	1955	770.542	6.647094	62	0	84
484516	1971	1232.701	7.116963	64	0	44
518075	1975	893.2947	6.794917	64	0	66
429444	1977	927.1638	6.83213	62	0	31
518075	1977	1419.769	7.25825	64	0	19
489529	1988	844.4067	6.738634	63	0	34
429444	1991	534.2043	6.280778	62	0	13
489529	1991	1170.198	7.064929	63	0	16
429444	2000	431.6036	6.067508	62	0	1
518075	2004	1500	7.313221	64	0	80
429444	2006	856.0092	6.752281	62	0	75
429444	2007	1082.548	6.987072	62	0	80
165759	2015	522.2547	6.258155	64	0	3
634025	2018	1068.501	6.974012	64	0	18
679973	2022	783.862	6.664233	64	0	17
489529	2031	585.7708	6.372929	63	0	1
518075	2031	847.2305	6.741973	64	0	15
489529	2033	1474.975	7.296396	63	0	54
429444	2038	2378.864	7.774378	62	0	93
429444	2040	870.8934	6.769519	62	0	71
489529	2040	518.8614	6.251637	63	0	57
518075	2044	1029.276	6.936611	64	0	32
475946	2051	588.1535	6.376988	64	0	7
117575	2059	627.3333	6.441478	63	0	10
124431	2059	696.4827	6.546043	64	0	34
394522	2067	1344.438	7.203731	62	0	42
449721	2068	1732.352	7.457235	63	0	93
475946	2085	980.2091	6.887766	64	0	52
394522	2086	889.4834	6.790641	62	0	17
475946	2086	775.9066	6.654032	64	0	13
394522	2091	729.9507	6.592977	62	0	3
475946	2091	420.1224	6.040546	64	0	8
411675	2108	779.815	6.659057	62	0	52
449721	2110	2062.767	7.631804	63	0	85
475946	2110	1658.378	7.413595	64	0	70
394522	2113	1804.016	7.497771	62	0	96
511679	2115	1160.865	7.056921	63	0	17
439875	2135	1641.826	7.403564	62	0	15
441788	2136	915.1586	6.819098	62	0	64
532966	2141	877.4565	6.777028	64	0	15
572273	2148	587.2479	6.375447	63	0	74
501420	2151	754.7095	6.626333	63	0	75
145340	2160	404.5838	6.002859	63	0	3
150227	2169	575.7689	6.355706	62	1	72
500149	2172	1413.17	7.253591	63	0	31
428864	2184	2088.855	7.644372	62	0	50
517375	2187	1842.926	7.51911	64	0	14
112122	2189	1333.609	7.195644	62	0	71
464425	2192	904.6355	6.807532	63	0	10
407421	2201	1667.898	7.41932	62	0	79
464425	2207	1158.17	7.054596	63	0	59
139497	2208	1063.625	6.969439	62	1	21
140391	2208	1182.826	7.075662	63	1	16
185399	2211	697.1781	6.547041	64	1	5
491507	2218	1365.147	7.219018	64	0	48
407421	2223	1780.224	7.484495	62	0	39
510410	2233	1514.212	7.32265	64	0	36
423091	2235	1313.159	7.180191	62	0	52
423091	2237	1429.189	7.264863	62	0	90
423091	2239	2733.896	7.913483	62	0	98
472388	2256	1258.171	7.137414	62	0	41
168470	2258	481.0566	6.175985	63	1	1
526045	2261	600	6.39693	64	0	3
167396	2262	639.5883	6.460824	62	1	48
