SMSA81,SCSA81,PlaceName81,MSAPMA99,MSACMA99,PMSA99,NECMA99,PlaceName99,MSAPMA99m,MSACMA99m,PMSA99m,NECMA99m,PlaceName_MSA
1280,,"Buffalo, NY SMSA",1280,1280,,,"Buffalo-Niagara Falls, NY MSA",1280,1280,,,"Buffalo-Niagara Falls, NY MSA"
1305,,"Burlington, VT SMSA",1305,1305,,,"Burlington, VT MSA",1305,1305,,1303,"Burlington, VT NECMA"
1310,87,"Caguas, PR SMSA",1310,7442,1310,,"Caguas, PR PMSA",1310,7442,1310,,"Caguas, PR PMSA"
1320,,"Canton, OH SMSA",1320,1320,,,"Canton-Massillon, OH MSA",1320,1320,,,"Canton-Massillon, OH MSA"
1350,,"Casper, WY SMSA",1350,1350,,,"Casper, WY MSA",1350,1350,,,"Casper, WY MSA"
1360,,"Cedar Rapids, IA SMSA",1360,1360,,,"Cedar Rapids, IA MSA",1360,1360,,,"Cedar Rapids, IA MSA"
1400,,"Champaign-Urbana-Rantoul, IL SMSA",1400,1400,,,"Champaign-Urbana, IL MSA",1400,1400,,,"Champaign-Urbana, IL MSA"
1440,,"Charleston-North Charleston, SC SMSA",1440,1440,,,"Charleston-North Charleston, SC MSA",1440,1440,,,"Charleston-North Charleston, SC MSA"
1480,,"Charleston, WV SMSA",1480,1480,,,"Charleston, WV MSA",1480,1480,,,"Charleston, WV MSA"
1520,,"Charlotte-Gastonia, NC SMSA",1520,1520,,,"Charlotte-Gastonia-Rock Hill, NC-SC MSA",1520,1520,,,"Charlotte-Gastonia-Rock Hill, NC-SC MSA"
6885,,"Rock Hill, SC SMSA",,,,,,1520,1520,,,"Charlotte-Gastonia-Rock Hill, NC-SC MSA"
7140,,"Salisbury-Concord, NC SMSA",,,,,,1520,1520,,,"Charlotte-Gastonia-Rock Hill, NC-SC MSA"
1540,,"Charlottesville, VA SMSA",1540,1540,,,"Charlottesville, VA MSA",1540,1540,,,"Charlottesville, VA MSA"
1560,,"Chattanooga, TN-GA SMSA",1560,1560,,,"Chattanooga, TN-GA MSA",1560,1560,,,"Chattanooga, TN-GA MSA"
,,,1580,1580,,,"Cheyenne, WY MSA",1580,1580,,,"Cheyenne, WY MSA"
1600,14,"Chicago, IL SMSA",1600,1602,1600,,"Chicago, IL PMSA",1600,1602,1600,,"Chicago, IL PMSA"
1620,,"Chico, CA SMSA",1620,1620,,,"Chico-Paradise, CA MSA",1620,1620,,,"Chico-Paradise, CA MSA"
1640,21,"Cincinnati, OH-KY-IN SMSA",1640,1642,1640,,"Cincinnati, OH-KY-IN PMSA",1640,1642,1640,,"Cincinnati, OH-KY-IN PMSA"
1660,,"Clarksville-Hopkinsville, TN-KY SMSA",1660,1660,,,"Clarksville-Hopkinsville, TN-KY MSA",1660,1660,,,"Clarksville-Hopkinsville, TN-KY MSA"
1680,28,"Cleveland, OH SMSA",1680,1692,1680,,"Cleveland-Lorain-Elyria, OH PMSA",1680,1692,1680,,"Cleveland-Lorain-Elyria, OH PMSA"
4440,28,"Lorain-Elyria, OH SMSA",,,,,,1680,1692,1680,,"Cleveland-Lorain-Elyria, OH PMSA"
1720,,"Colorado Springs, CO SMSA",1720,1720,,,"Colorado Springs, CO MSA",1720,1720,,,"Colorado Springs, CO MSA"
1740,,"Columbia, MO SMSA",1740,1740,,,"Columbia, MO MSA",1740,1740,,,"Columbia, MO MSA"
1760,,"Columbia, SC SMSA",1760,1760,,,"Columbia, SC MSA",1760,1760,,,"Columbia, SC MSA"
1800,,"Columbus, GA-AL SMSA",1800,1800,,,"Columbus, GA-AL MSA",1800,1800,,,"Columbus, GA-AL MSA"
1840,,"Columbus, OH SMSA",1840,1840,,,"Columbus, OH MSA",1840,1840,,,"Columbus, OH MSA"
5645,,"Newark, OH SMSA",,,,,,1840,1840,,,"Columbus, OH MSA"
1880,,"Corpus Christi, TX SMSA",1880,1880,,,"Corpus Christi, TX MSA",1880,1880,,,"Corpus Christi, TX MSA"
,,,1890,1890,,,"Corvallis, OR MSA",1890,1890,,,"Corvallis, OR MSA"
1900,,"Cumberland, MD-WV SMSA",1900,1900,,,"Cumberland, MD-WV MSA",1900,1900,,,"Cumberland, MD-WV MSA"
1920,,"Dallas-Fort Worth, TX SMSA",1920,1922,1920,,"Dallas, TX PMSA",1920,1922,1920,,"Dallas-Fort Worth, TX MMSA"
,,,2800,1922,2800,,"Fort Worth-Arlington, TX PMSA",1920,1922,1920,,"Dallas-Fort Worth, TX MMSA"
1930,,"Danbury, CT SMSA",1930,5602,1930,,"Danbury, CT PMSA",1930,5602,1930,5483,"New Haven-Bridgeport-Stamford-Waterbury-Danbury, CT NECMA"
1950,,"Danville, VA SMSA",1950,1950,,,"Danville, VA MSA",1950,1950,,,"Danville, VA MSA"
1960,,"Davenport-Rock Island-Moline, IA-IL SMSA",1960,1960,,,"Davenport-Moline-Rock Island, IA-IL MSA",1960,1960,,,"Davenport-Moline-Rock Island, IA-IL MSA"
2000,32,"Dayton, OH SMSA",2000,2000,,,"Dayton-Springfield, OH MSA",2000,2000,,,"Dayton-Springfield, OH MSA"
7960,32,"Springfield, OH SMSA",,,,,,2000,2000,,,"Dayton-Springfield, OH MSA"
2020,,"Daytona Beach, FL SMSA",2020,2020,,,"Daytona Beach, FL MSA",2020,2020,,,"Daytona Beach, FL MSA"
,,,2030,2030,,,"Decatur, AL MSA",2030,2030,,,"Decatur, AL MSA"
2040,,"Decatur, IL SMSA",2040,2040,,,"Decatur, IL MSA",2040,2040,,,"Decatur, IL MSA"
,,,1125,2082,1125,,"Boulder-Longmont, CO PMSA",2080,2082,2080,,Denver-Boulder MMSA
2080,,"Denver-Boulder, CO SMSA",2080,2082,2080,,"Denver, CO PMSA",2080,2082,2080,,Denver-Boulder MMSA
2120,,"Des Moines, IA SMSA",2120,2120,,,"Des Moines, IA MSA",2120,2120,,,"Des Moines, IA MSA"
