SMSA81,SCSA81,PlaceName81,MSAPMA99,MSACMA99,PMSA99,NECMA99,PlaceName99,MSAPMA99m,MSACMA99m,PMSA99m,NECMA99m,PlaceName_MSA
4900,,"Melbourne-Titusville-Cocoa, FL SMSA",4900,4900,,,"Melbourne-Titusville-Palm Bay, FL MSA",4900,4900,,,"Melbourne-Titusville-Palm Bay, FL MSA"
4920,,"Memphis, TN-AR-MS SMSA",4920,4920,,,"Memphis, TN-AR-MS MSA",4920,4920,,,"Memphis, TN-AR-MS MSA"
,,,4940,4940,,,"Merced, CA MSA",4940,4940,,,"Merced, CA MSA"
5000,56,"Miami, FL SMSA",5000,4992,5000,,"Miami, FL PMSA",5000,4992,5000,,"Miami, FL PMSA"
5460,70,"New Brunswick-Perth Amboy-Sayreville, NJ SMSA",5015,5602,5015,,"Middlesex-Somerset-Hunterdon, NJ PMSA",5015,5602,5015,,"Middlesex-Somerset-Hunterdon, NJ PMSA"
5080,63,"Milwaukee, WI SMSA",5080,5082,5080,,"Milwaukee-Waukesha, WI PMSA",5080,5082,5080,,"Milwaukee-Waukesha, WI PMSA"
5120,,"Minneapolis-St. Paul, MN-WI SMSA",5120,5120,,,"Minneapolis-St. Paul, MN-WI MSA",5120,5120,,,"Minneapolis-St. Paul, MN-WI MSA"
,,,5140,5140,,,"Missoula, MT MSA",5140,5140,,,"Missoula, MT MSA"
5160,,"Mobile, AL SMSA",5160,5160,,,"Mobile, AL MSA",5160,5160,,,"Mobile, AL MSA"
5170,,"Modesto, CA SMSA",5170,5170,,,"Modesto, CA MSA",5170,5170,,,"Modesto, CA MSA"
4410,70,"Long Branch-Asbury Park, NJ SMSA",5190,5602,5190,,"Monmouth-Ocean, NJ PMSA",5190,5602,5190,,"Monmouth-Ocean, NJ PMSA"
5200,,"Monroe, LA SMSA",5200,5200,,,"Monroe, LA MSA",5200,5200,,,"Monroe, LA MSA"
5240,,"Montgomery, AL SMSA",5240,5240,,,"Montgomery, AL MSA",5240,5240,,,"Montgomery, AL MSA"
5280,,"Muncie, IN SMSA",5280,5280,,,"Muncie, IN MSA",5280,5280,,,"Muncie, IN MSA"
,,,5330,5330,,,"Myrtle Beach, SC MSA",5330,5330,,,"Myrtle Beach, SC MSA"
,,,5345,5345,,,"Naples, FL MSA",5345,5345,,,"Naples, FL MSA"
5350,,"Nashua, NH SMSA",5350,1122,5350,,"Nashua, NH PMSA",5350,1122,5350,,"Nashua, NH PMSA"
5360,,"Nashville-Davidson, TN SMSA",5360,5360,,,"Nashville, TN MSA",5360,5360,,,"Nashville, TN MSA"
5380,70,"Nassau-Suffolk, NY SMSA",5380,5602,5380,,"Nassau-Suffolk, NY PMSA",5380,5602,5380,,"Nassau-Suffolk, NY PMSA"
5400,,"New Bedford, MA SMSA",5400,1122,5400,,"New Bedford, MA PMSA",5400,1122,5400,,"New Bedford, MA PMSA"
4960,,"Meriden, CT SMSA",5480,5602,5480,,"New Haven-Meriden, CT PMSA",5480,5602,5480,,"New Haven-Meriden, CT PMSA"
5480,,"New Haven-West Haven, CT SMSA",,,,,,5480,5602,5480,5483,"New Haven-Bridgeport-Stamford-Waterbury-Danbury, CT NECMA"
5520,,"New London-Norwich, CT-RI SMSA",5520,5520,,,"New London-Norwich, CT-RI MSA",5520,5520,,5523,"New London-Norwich, CT NECMA"
5560,,"New Orleans, LA SMSA",5560,5560,,,"New Orleans, LA MSA",5560,5560,,,"New Orleans, LA MSA"
5600,70,"New York, NY-NJ SMSA",5600,5602,5600,,"New York, NY PMSA",5600,5602,5600,,"New York, NY PMSA"
5640,70,"Newark, NJ SMSA",5640,5602,5640,,"Newark, NJ PMSA",5640,5602,5640,,"Newark, NJ PMSA"
5660,,"Newburgh-Middletown, NY SMSA",5660,5602,5660,,"Newburgh, NY-PA PMSA",5660,5602,5660,,"Newburgh, NY-PA PMSA"
5680,,"Newport News-Hampton, VA SMSA",5720,5720,,,"Norfolk-Virginia Beach-Newport News, VA-NC MSA",5720,5720,,,"Norfolk-Virginia Beach-Newport News, VA-NC MSA"
5720,,"Norfolk-Virginia Beach-Portsmouth, VA-NC SMSA",,,,,,5720,5720,,,"Norfolk-Virginia Beach-Newport News, VA-NC MSA"
5790,,"Ocala, FL SMSA",5790,5790,,,"Ocala, FL MSA",5790,5790,,,"Ocala, FL MSA"
5040,,"Midland, TX SMSA",5800,5800,,,"Odessa-Midland, TX MSA",5800,5800,,,"Odessa-Midland, TX MSA"
5800,,"Odessa, TX SMSA",,,,,,5800,5800,,,"Odessa-Midland, TX MSA"
5880,,"Oklahoma City, OK SMSA",5880,5880,,,"Oklahoma City, OK MSA",5880,5880,,,"Oklahoma City, OK MSA"
5910,,"Olympia, WA SMSA",5910,7602,5910,,"Olympia, WA PMSA",5910,7602,5910,,"Olympia, WA PMSA"
5920,,"Omaha, NE-IA SMSA",5920,5920,,,"Omaha, NE-IA MSA",5920,5920,,,"Omaha, NE-IA MSA"
360,49,"Anaheim-Santa Ana-Garden Grove, CA SMSA",5945,4472,5945,,"Orange County, CA PMSA",5945,4472,5945,,"Orange County, CA PMSA"
5960,,"Orlando, FL SMSA",5960,5960,,,"Orlando, FL MSA",5960,5960,,,"Orlando, FL MSA"
5990,,"Owensboro, KY SMSA",5990,5990,,,"Owensboro, KY MSA",5990,5990,,,"Owensboro, KY MSA"
6015,,"Panama City, FL SMSA",6015,6015,,,"Panama City, FL MSA",6015,6015,,,"Panama City, FL MSA"
6020,,"Parkersburg-Marietta, WV-OH SMSA",6020,6020,,,"Parkersburg-Marietta, WV-OH MSA",6020,6020,,,"Parkersburg-Marietta, WV-OH MSA"
6080,,"Pensacola, FL SMSA",6080,6080,,,"Pensacola, FL MSA",6080,6080,,,"Pensacola, FL MSA"
6120,,"Peoria, IL SMSA",6120,6120,,,"Peoria-Pekin, IL MSA",6120,6120,,,"Peoria-Pekin, IL MSA"
6160,77,"Philadelphia, PA-NJ SMSA",6160,6162,6160,,"Philadelphia, PA-NJ PMSA",6160,6162,6160,,"Philadelphia, PA-NJ PMSA"
6200,,"Phoenix, AZ SMSA",6200,6200,,,"Phoenix-Mesa, AZ MSA",6200,6200,,,"Phoenix-Mesa, AZ MSA"
6240,,"Pine Bluff, AR SMSA",6240,6240,,,"Pine Bluff, AR MSA",6240,6240,,,"Pine Bluff, AR MSA"
6280,,"Pittsburgh, PA SMSA",6280,6280,,,"Pittsburgh, PA MSA",6280,6280,,,"Pittsburgh, PA MSA"
6320,,"Pittsfield, MA SMSA",6320,6320,,,"Pittsfield, MA MSA",6320,6320,,6323,"Pittsfield, MA NECMA"
,,,6340,6340,,,"Pocatello, ID MSA",6340,6340,,,"Pocatello, ID MSA"
6360,,"Ponce, PR SMSA",6360,6360,,,"Ponce, PR MSA",6360,6360,,,"Ponce, PR MSA"
6400,,"Portland, ME SMSA",6400,6400,,,"Portland, ME MSA",6400,6400,,6403,"Portland, ME NECMA"
6440,,"Portland, OR-WA SMSA",6440,6442,6440,,"Portland-Vancouver, OR-WA PMSA",6440,6442,6440,,"Portland-Vancouver, OR-WA PMSA"
6450,,"Portsmouth-Dover-Rochester, NH-ME SMSA",6450,1122,6450,,"Portsmouth-Rochester, NH-ME PMSA",6450,1122,6450,,"Portsmouth-Rochester, NH-ME PMSA"
2480,80,"Fall River, MA-RI SMSA",6480,6480,,,"Providence-Fall River-Warwick, RI-MA MSA",6480,6480,,6483,"Providence-Warwick-Pawtucket, RI NECMA"
6480,80,"Providence-Warwick-Pawtucket, RI-MA SMSA",,,,,,6480,6480,,6483,"Providence-Warwick-Pawtucket, RI NECMA"
6520,,"Provo-Orem, UT SMSA",6520,6520,,,"Provo-Orem, UT MSA",6520,6520,,,"Provo-Orem, UT MSA"
6560,,"Pueblo, CO SMSA",6560,6560,,,"Pueblo, CO MSA",6560,6560,,,"Pueblo, CO MSA"
,,,6580,6580,,,"Punta Gorda, FL MSA",6580,6580,,,"Punta Gorda, FL MSA"
6600,63,"Racine, WI SMSA",6600,5082,6600,,"Racine, WI PMSA",6600,5082,6600,,"Racine, WI PMSA"
6640,,"Raleigh-Durham, NC SMSA",6640,6640,,,"Raleigh-Durham-Chapel Hill, NC MSA",6640,6640,,,"Raleigh-Durham-Chapel Hill, NC MSA"
,,,6660,6660,,,"Rapid City, SD MSA",6660,6660,,,"Rapid City, SD MSA"
6680,,"Reading, PA SMSA",6680,6680,,,"Reading, PA MSA",6680,6680,,,"Reading, PA MSA"
6690,,"Redding, CA SMSA",6690,6690,,,"Redding, CA MSA",6690,6690,,,"Redding, CA MSA"
6720,,"Reno, NV SMSA",6720,6720,,,"Reno, NV MSA",6720,6720,,,"Reno, NV MSA"
6740,,"Richland-Kennewick-Pasco, WA SMSA",6740,6740,,,"Richland-Kennewick-Pasco, WA MSA",6740,6740,,,"Richland-Kennewick-Pasco, WA MSA"
6140,,"Petersburg-Colonial Heights-Hopewell, VA SMSA",6760,6760,,,"Richmond-Petersburg, VA MSA",6760,6760,,,"Richmond-Petersburg, VA MSA"
6760,,"Richmond, VA SMSA",,,,,,6760,6760,,,"Richmond-Petersburg, VA MSA"
6780,49,"Riverside-San Bernardino-Ontario, CA SMSA",6780,4472,6780,,"Riverside-San Bernardino, CA PMSA",6780,4472,6780,,"Riverside-San Bernardino, CA PMSA"
6800,,"Roanoke, VA SMSA",6800,6800,,,"Roanoke, VA MSA",6800,6800,,,"Roanoke, VA MSA"
6820,,"Rochester, MN SMSA",6820,6820,,,"Rochester, MN MSA",6820,6820,,,"Rochester, MN MSA"
6840,,"Rochester, NY SMSA",6840,6840,,,"Rochester, NY MSA",6840,6840,,,"Rochester, NY MSA"
6880,,"Rockford, IL SMSA",6880,6880,,,"Rockford, IL MSA",6880,6880,,,"Rockford, IL MSA"
,,,6895,6895,,,"Rocky Mount, NC MSA",6895,6895,,,"Rocky Mount, NC MSA"
6920,,"Sacramento, CA SMSA",6920,6922,6920,,"Sacramento, CA PMSA",6920,6922,6920,,"Sacramento, CA PMSA"
800,,"Bay City, MI SMSA",6960,6960,,,"Saginaw-Bay City-Midland, MI MSA",6960,6960,,,"Saginaw-Bay City-Midland, MI MSA"
6960,,"Saginaw, MI SMSA",,,,,,6960,6960,,,"Saginaw-Bay City-Midland, MI MSA"
6980,,"St. Cloud, MN SMSA",6980,6980,,,"St. Cloud, MN MSA",6980,6980,,,"St. Cloud, MN MSA"
7000,,"St. Joseph, MO SMSA",7000,7000,,,"St. Joseph, MO MSA",7000,7000,,,"St. Joseph, MO MSA"
7040,,"St. Louis, MO-IL SMSA",7040,7040,,,"St. Louis, MO-IL MSA",7040,7040,,,"St. Louis, MO-IL MSA"
7080,,"Salem, OR SMSA",7080,6442,7080,,"Salem, OR PMSA",7080,6442,7080,,"Salem, OR PMSA"
7120,,"Salinas-Seaside-Monterey, CA SMSA",7120,7120,,,"Salinas, CA MSA",7120,7120,,,"Salinas, CA MSA"
7160,,"Salt Lake City-Ogden, UT SMSA",7160,7160,,,"Salt Lake City-Ogden, UT MSA",7160,7160,,,"Salt Lake City-Ogden, UT MSA"
7200,,"San Angelo, TX SMSA",7200,7200,,,"San Angelo, TX MSA",7200,7200,,,"San Angelo, TX MSA"
7240,,"San Antonio, TX SMSA",7240,7240,,,"San Antonio, TX MSA",7240,7240,,,"San Antonio, TX MSA"
7320,,"San Diego, CA SMSA",7320,7320,,,"San Diego, CA MSA",7320,7320,,,"San Diego, CA MSA"
,,,5775,7362,5775,,"Oakland, CA PMSA",7360,7362,7360,,"San Francisco-Oakland, CA MMSA"
7360,84,"San Francisco-Oakland, CA SMSA",7360,7362,7360,,"San Francisco, CA PMSA",7360,7362,7360,,"San Francisco-Oakland, CA MMSA"
7400,84,"San Jose, CA SMSA",7400,7362,7400,,"San Jose, CA PMSA",7400,7362,7400,,"San Jose, CA PMSA"
7440,87,"San Juan, PR SMSA",7440,7442,7440,,"San Juan-Bayamon, PR PMSA",7440,7442,7440,,"San Juan-Bayamon, PR PMSA"
,,,7460,7460,,,"San Luis Obispo-Atascadero-Paso Robles, CA MSA",7460,7460,,,"San Luis Obispo-Atascadero-Paso Robles, CA MSA"
7480,,"Santa Barbara-Santa Maria-Lompoc, CA SMSA",7480,7480,,,"Santa Barbara-Santa Maria-Lompoc, CA MSA",7480,7480,,,"Santa Barbara-Santa Maria-Lompoc, CA MSA"
7485,,"Santa Cruz, CA SMSA",7485,7362,7485,,"Santa Cruz-Watsonville, CA PMSA",7485,7362,7485,,"Santa Cruz-Watsonville, CA PMSA"
,,,7490,7490,,,"Santa Fe, NM MSA",7490,7490,,,"Santa Fe, NM MSA"
7500,84,"Santa Rosa, CA SMSA",7500,7362,7500,,"Santa Rosa, CA PMSA",7500,7362,7500,,"Santa Rosa, CA PMSA"
1140,,"Bradenton, FL SMSA",7510,7510,,,"Sarasota-Bradenton, FL MSA",7510,7510,,,"Sarasota-Bradenton, FL MSA"
7510,,"Sarasota, FL SMSA",,,,,,7510,7510,,,"Sarasota-Bradenton, FL MSA"
7520,,"Savannah, GA SMSA",7520,7520,,,"Savannah, GA MSA",7520,7520,,,"Savannah, GA MSA"
5745,,Northeast Pennsylvania SMSA,7560,7560,,,"Scranton--Wilkes-Barre--Hazleton, PA MSA",7560,7560,,,"Scranton--Wilkes-Barre--Hazleton, PA MSA"
7600,91,"Seattle-Everett, WA SMSA",7600,7602,7600,,"Seattle-Bellevue-Everett, WA PMSA",7600,7602,7600,,"Seattle-Bellevue-Everett, WA PMSA"
7610,,"Sharon, PA SMSA",7610,7610,,,"Sharon, PA MSA",7610,7610,,,"Sharon, PA MSA"
7620,,"Sheboygan, WI SMSA",7620,7620,,,"Sheboygan, WI MSA",7620,7620,,,"Sheboygan, WI MSA"
7640,,"Sherman-Denison, TX SMSA",7640,7640,,,"Sherman-Denison, TX MSA",7640,7640,,,"Sherman-Denison, TX MSA"
7680,,"Shreveport, LA SMSA",7680,7680,,,"Shreveport-Bossier City, LA MSA",7680,7680,,,"Shreveport-Bossier City, LA MSA"
7720,,"Sioux City, IA-NE SMSA",7720,7720,,,"Sioux City, IA-NE MSA",7720,7720,,,"Sioux City, IA-NE MSA"
7760,,"Sioux Falls, SD SMSA",7760,7760,,,"Sioux Falls, SD MSA",7760,7760,,,"Sioux Falls, SD MSA"
7800,,"South Bend, IN SMSA",7800,7800,,,"South Bend, IN MSA",7800,7800,,,"South Bend, IN MSA"
7840,,"Spokane, WA SMSA",7840,7840,,,"Spokane, WA MSA",7840,7840,,,"Spokane, WA MSA"
7880,,"Springfield, IL SMSA",7880,7880,,,"Springfield, IL MSA",7880,7880,,,"Springfield, IL MSA"
7920,,"Springfield, MO SMSA",7920,7920,,,"Springfield, MO MSA",7920,7920,,,"Springfield, MO MSA"
8000,,"Springfield-Chicopee-Holyoke, MA-CT SMSA",8000,8000,,,"Springfield, MA MSA",8000,8000,,8003,"Springfield, MA NECMA"
5760,70,"Norwalk, CT SMSA",8040,5602,8040,,"Stamford-Norwalk, CT PMSA",8040,5602,8040,,"Stamford-Norwalk, CT PMSA"
8040,70,"Stamford, CT SMSA",,,,,,8040,5602,8040,5483,"New Haven-Bridgeport-Stamford-Waterbury-Danbury, CT NECMA"
8050,,"State College, PA SMSA",8050,8050,,,"State College, PA MSA",8050,8050,,,"State College, PA MSA"
8080,,"Steubenville-Weirton, OH-WV SMSA",8080,8080,,,"Steubenville-Weirton, OH-WV MSA",8080,8080,,,"Steubenville-Weirton, OH-WV MSA"
8120,,"Stockton, CA SMSA",8120,8120,,,"Stockton-Lodi, CA MSA",8120,8120,,,"Stockton-Lodi, CA MSA"
,,,8140,8140,,,"Sumter, SC MSA",8140,8140,,,"Sumter, SC MSA"
8160,,"Syracuse, NY SMSA",8160,8160,,,"Syracuse, NY MSA",8160,8160,,,"Syracuse, NY MSA"
8200,91,"Tacoma, WA SMSA",8200,7602,8200,,"Tacoma, WA PMSA",8200,7602,8200,,"Tacoma, WA PMSA"
8240,,"Tallahassee, FL SMSA",8240,8240,,,"Tallahassee, FL MSA",8240,8240,,,"Tallahassee, FL MSA"
8280,,"Tampa-St. Petersburg, FL SMSA",8280,8280,,,"Tampa-St. Petersburg-Clearwater, FL MSA",8280,8280,,,"Tampa-St. Petersburg-Clearwater, FL MSA"
8320,,"Terre Haute, IN SMSA",8320,8320,,,"Terre Haute, IN MSA",8320,8320,,,"Terre Haute, IN MSA"
8360,,"Texarkana, TX-Texarkana, AR SMSA",8360,8360,,,"Texarkana, TX-Texarkana, AR MSA",8360,8360,,,"Texarkana, TX-Texarkana, AR MSA"
8400,,"Toledo, OH-MI SMSA",8400,8400,,,"Toledo, OH MSA",8400,8400,,,"Toledo, OH MSA"
8440,,"Topeka, KS SMSA",8440,8440,,,"Topeka, KS MSA",8440,8440,,,"Topeka, KS MSA"
8480,77,"Trenton, NJ SMSA",8480,5602,8480,,"Trenton, NJ PMSA",8480,5602,8480,,"Trenton, NJ PMSA"
8520,,"Tucson, AZ SMSA",8520,8520,,,"Tucson, AZ MSA",8520,8520,,,"Tucson, AZ MSA"
8560,,"Tulsa, OK SMSA",8560,8560,,,"Tulsa, OK MSA",8560,8560,,,"Tulsa, OK MSA"
8600,,"Tuscaloosa, AL SMSA",8600,8600,,,"Tuscaloosa, AL MSA",8600,8600,,,"Tuscaloosa, AL MSA"
8640,,"Tyler, TX SMSA",8640,8640,,,"Tyler, TX MSA",8640,8640,,,"Tyler, TX MSA"
8680,,"Utica-Rome, NY SMSA",8680,8680,,,"Utica-Rome, NY MSA",8680,8680,,,"Utica-Rome, NY MSA"
8720,84,"Vallejo-Fairfield-Napa, CA SMSA",8720,7362,8720,,"Vallejo-Fairfield-Napa, CA PMSA",8720,7362,8720,,"Vallejo-Fairfield-Napa, CA PMSA"
6000,49,"Oxnard-Simi Valley-Ventura, CA SMSA",8735,4472,8735,,"Ventura, CA PMSA",8735,4472,8735,,"Ventura, CA PMSA"
8750,,"Victoria, TX SMSA",8750,8750,,,"Victoria, TX MSA",8750,8750,,,"Victoria, TX MSA"
8760,,"Vineland-Millville-Bridgeton, NJ SMSA",8760,6162,8760,,"Vineland-Millville-Bridgeton, NJ PMSA",8760,6162,8760,,"Vineland-Millville-Bridgeton, NJ PMSA"
8780,,"Visalia-Tulare-Porterville, CA SMSA",8780,8780,,,"Visalia-Tulare-Porterville, CA MSA",8780,8780,,,"Visalia-Tulare-Porterville, CA MSA"
8800,,"Waco, TX SMSA",8800,8800,,,"Waco, TX MSA",8800,8800,,,"Waco, TX MSA"
8840,,"Washington, DC-MD-VA SMSA",8840,8872,8840,,"Washington, DC-MD-VA-WV PMSA",8840,8872,8840,,"Washington, DC-MD-VA-WV PMSA"
8880,,"Waterbury, CT SMSA",8880,5602,8880,,"Waterbury, CT PMSA",8880,5602,8880,5483,"New Haven-Bridgeport-Stamford-Waterbury-Danbury, CT NECMA"
8920,,"Waterloo-Cedar Falls, IA SMSA",8920,8920,,,"Waterloo-Cedar Falls, IA MSA",8920,8920,,,"Waterloo-Cedar Falls, IA MSA"
8940,,"Wausau, WI SMSA",8940,8940,,,"Wausau, WI MSA",8940,8940,,,"Wausau, WI MSA"
8960,,"West Palm Beach-Boca Raton, FL SMSA",8960,8960,,,"West Palm Beach-Boca Raton, FL MSA",8960,8960,,,"West Palm Beach-Boca Raton, FL MSA"
9000,,"Wheeling, WV-OH SMSA",9000,9000,,,"Wheeling, WV-OH MSA",9000,9000,,,"Wheeling, WV-OH MSA"
9040,,"Wichita, KS SMSA",9040,9040,,,"Wichita, KS MSA",9040,9040,,,"Wichita, KS MSA"
9080,,"Wichita Falls, TX SMSA",9080,9080,,,"Wichita Falls, TX MSA",9080,9080,,,"Wichita Falls, TX MSA"
9140,,"Williamsport, PA SMSA",9140,9140,,,"Williamsport, PA MSA",9140,9140,,,"Williamsport, PA MSA"
9160,77,"Wilmington, DE-NJ-MD SMSA",9160,6162,9160,,"Wilmington-Newark, DE-MD PMSA",9160,6162,9160,,"Wilmington-Newark, DE-MD PMSA"
9200,,"Wilmington, NC SMSA",9200,9200,,,"Wilmington, NC MSA",9200,9200,,,"Wilmington, NC MSA"
9240,,"Worcester, MA SMSA",9240,1122,9240,,"Worcester, MA-CT PMSA",9240,1122,9240,1123,"Boston-Worcester-Lawrence-Lowell-Brockton, MA-NH NECMA"
9260,,"Yakima, WA SMSA",9260,9260,,,"Yakima, WA MSA",9260,9260,,,"Yakima, WA MSA"
,,,9270,6922,9270,,"Yolo, CA PMSA",9270,6922,9270,,"Yolo, CA PMSA"
9280,,"York, PA SMSA",9280,9280,,,"York, PA MSA",9280,9280,,,"York, PA MSA"
9320,,"Youngstown-Warren, OH SMSA",9320,9320,,,"Youngstown-Warren, OH MSA",9320,9320,,,"Youngstown-Warren, OH MSA"
9340,,"Yuba City, CA SMSA",9340,9340,,,"Yuba City, CA MSA",9340,9340,,,"Yuba City, CA MSA"
,,,9360,9360,,,"Yuma, AZ MSA",9360,9360,,,"Yuma, AZ MSA"
,,,,,,733,"Bangor, ME NECMA",,,,733,"Bangor, ME NECMA"
,,,,,,743,"Barnstable-Yarmouth, MA NECMA",,,,743,"Barnstable-Yarmouth, MA NECMA"
,,,,,,1123,"Boston-Worcester-Lawrence-Lowell-Brockton, MA-NH NECMA",,,,1123,"Boston-Worcester-Lawrence-Lowell-Brockton, MA-NH NECMA"
,,,,,,1303,"Burlington, VT NECMA",,,,1303,"Burlington, VT NECMA"
,,,,,,3283,"Hartford, CT NECMA",,,,3283,"Hartford, CT NECMA"
,,,,,,4243,"Lewiston-Auburn, ME NECMA",,,,4243,"Lewiston-Auburn, ME NECMA"
,,,,,,5483,"New Haven-Bridgeport-Stamford-Waterbury-Danbury, CT NECMA",,,,5483,"New Haven-Bridgeport-Stamford-Waterbury-Danbury, CT NECMA"
,,,,,,5523,"New London-Norwich, CT NECMA",,,,5523,"New London-Norwich, CT NECMA"
,,,,,,6323,"Pittsfield, MA NECMA",,,,6323,"Pittsfield, MA NECMA"
,,,,,,6403,"Portland, ME NECMA",,,,6403,"Portland, ME NECMA"
,,,,,,6483,"Providence-Warwick-Pawtucket, RI NECMA",,,,6483,"Providence-Warwick-Pawtucket, RI NECMA"
,,,,,,8003,"Springfield, MA NECMA",,,,8003,"Springfield, MA NECMA"
,,,,1122,,,"Boston-Worcester-Lawrence, MA-NH-ME-CT CMSA",,1122,,,"Boston-Worcester-Lawrence, MA-NH-ME-CT CMSA"
,,,,1602,,,"Chicago-Gary-Kenosha, IL-IN-WI CMSA",,1602,,,"Chicago-Gary-Kenosha, IL-IN-WI CMSA"
,,,,1642,,,"Cincinnati-Hamilton, OH-KY-IN CMSA",,1642,,,"Cincinnati-Hamilton, OH-KY-IN CMSA"
,,,,1692,,,"Cleveland-Akron, OH CMSA",,1692,,,"Cleveland-Akron, OH CMSA"
,,,,1922,,,"Dallas-Fort Worth, TX CMSA",,1922,,,"Dallas-Fort Worth, TX CMSA"
,,,,2082,,,"Denver-Boulder-Greeley, CO CMSA",,2082,,,"Denver-Boulder-Greeley, CO CMSA"
,,,,2162,,,"Detroit-Ann Arbor-Flint, MI CMSA",,2162,,,"Detroit-Ann Arbor-Flint, MI CMSA"
,,,,3362,,,"Houston-Galveston-Brazoria, TX CMSA",,3362,,,"Houston-Galveston-Brazoria, TX CMSA"
,,,,4472,,,"Los Angeles-Riverside-Orange County, CA CMSA",,4472,,,"Los Angeles-Riverside-Orange County, CA CMSA"
,,,,4992,,,"Miami-Fort Lauderdale, FL CMSA",,4992,,,"Miami-Fort Lauderdale, FL CMSA"
,,,,5082,,,"Milwaukee-Racine, WI CMSA",,5082,,,"Milwaukee-Racine, WI CMSA"
,,,,5602,,,"New York-Northern New Jersey-Long Island, NY-NJ-CT-PA CMSA",,5602,,,"New York-Northern New Jersey-Long Island, NY-NJ-CT-PA CMSA"
,,,,6162,,,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD CMSA",,6162,,,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD CMSA"
,,,,6442,,,"Portland-Salem, OR-WA CMSA",,6442,,,"Portland-Salem, OR-WA CMSA"
,,,,6922,,,"Sacramento-Yolo, CA CMSA",,6922,,,"Sacramento-Yolo, CA CMSA"
,,,,7362,,,"San Francisco-Oakland-San Jose, CA CMSA",,7362,,,"San Francisco-Oakland-San Jose, CA CMSA"
,,,,7442,,,"San Juan-Caguas-Arecibo, PR CMSA",,7442,,,"San Juan-Caguas-Arecibo, PR CMSA"
,,,,7602,,,"Seattle-Tacoma-Bremerton, WA CMSA",,7602,,,"Seattle-Tacoma-Bremerton, WA CMSA"
,,,,8872,,,"Washington-Baltimore, DC-MD-VA-WV CMSA",,8872,,,"Washington-Baltimore, DC-MD-VA-WV CMSA"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
